date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:26	2338/2338	---M--	200	added ('OK')	image/jpeg	etag:%225a186c20-922%22	https://colorlib.com/etc/dup/img/i5.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/i5.jpg	(from https://colorlib.com/etc/dup/index.html)
01:01:26	2227/2227	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1f-8b3%22	https://colorlib.com/etc/dup/img/i6.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/i6.jpg	(from https://colorlib.com/etc/dup/index.html)
01:01:27	2900/2900	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1e-b54%22	https://colorlib.com/etc/dup/img/i7.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/i7.jpg	(from https://colorlib.com/etc/dup/index.html)
01:01:27	2809/2809	---M--	200	added ('OK')	image/jpeg	etag:%225a186c18-af9%22	https://colorlib.com/etc/dup/img/i8.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/i8.jpg	(from https://colorlib.com/etc/dup/index.html)
01:01:27	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bb49cf5-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/etc/dup/index.html)
01:01:28	85577/85577	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a186c2a-14e49%22	https://colorlib.com/etc/dup/js/vendor/jquery-2.2.4.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/js/vendor/jquery-2.2.4.min.js	(from https://colorlib.com/etc/dup/index.html)
01:01:29	19033/19033	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-4a59%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	(from https://colorlib.com/etc/dup/index.html)
01:01:30	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a186c2a-c7c7%22	https://colorlib.com/etc/dup/js/vendor/bootstrap.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/js/vendor/bootstrap.min.js	(from https://colorlib.com/etc/dup/index.html)
01:01:30	4820/4820	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a186c10-12d4%22	https://colorlib.com/etc/dup/js/jquery.ajaxchimp.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/js/jquery.ajaxchimp.min.js	(from https://colorlib.com/etc/dup/index.html)
01:01:31	40402/40402	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a186c0f-9dd2%22	https://colorlib.com/etc/dup/js/owl.carousel.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/js/owl.carousel.min.js	(from https://colorlib.com/etc/dup/index.html)
